0.000000 3
0.100000 14
0.200000 27
0.300000 77
0.400000 84
0.500000 138
0.600000 179
0.700000 245
0.800000 315
0.900000 364
1.000000 421
1.100000 488
1.200000 602
1.300000 568
1.400000 654
1.500000 676
1.600000 656
1.700000 618
1.800000 639
1.900000 602
2.000000 502
2.100000 450
2.200000 417
2.300000 321
2.400000 259
2.500000 199
2.600000 151
2.700000 115
2.800000 71
2.900000 51
3.000000 44
3.100000 16
3.200000 14
3.300000 13
3.400000 3
3.500000 2
3.600000 2
3.700000 1
3.800000 1
3.900000 0
4.000000 0
4.100000 0
4.200000 0
4.300000 0
4.400000 0
4.500000 0
4.600000 0
4.700000 0
4.800000 0
4.900000 0
5.000000 0
5.100000 0
5.200000 0
5.300000 0
5.400000 0
5.500000 0
5.600000 0
5.700000 0
5.800000 0
5.900000 0


